product_id,product_name,product_start_date,product_rating
1000,Rogue Blade v1,2019-12-10,3.146218168979201
1001,Rogue Blade v2,2020-01-09,3.3116143347158338
1002,Rogue Blade v3,2021-10-08,3.977695612912878
1003,Rogue Blade v4,2022-06-09,3.8504585938121902
1004,Rogue Blade v5,2023-06-25,3.1112223776007246
1005,Dragon Shield v1,2019-08-07,3.649666152714613
1006,Dragon Shield v2,2020-06-12,3.975693561685895
1007,Dragon Shield v3,2021-12-13,2.765297359439314
1008,Dragon Shield v4,2024-05-15,3.8716800961899676
1009,Dragon Shield v5,2024-06-27,3.268688120527077
1010,Eagle Eye v1,2019-08-28,3.8852993342965796
1011,Eagle Eye v2,2020-11-10,3.218370421728742
1012,Eagle Eye v3,2021-11-10,2.697558949667741
1013,Eagle Eye v4,2022-11-25,2.7862287810584188
1014,Eagle Eye v5,2023-08-22,3.6240424733306913
1015,Shadow Assassin v1,2024-06-19,3.729861250860741
1016,Shadow Assassin v2,2020-02-08,3.1478416874477957
1017,Shadow Assassin v3,2021-01-25,3.919296229388687
1018,Shadow Assassin v4,2022-05-03,2.76923996886552
1019,Shadow Assassin v5,2023-11-05,3.566960100676342
1020,Mystic Wand v1,2019-12-22,2.9944919001187715
1021,Mystic Wand v2,2020-05-11,3.2740819460989203
1022,Mystic Wand v3,2024-05-25,3.6236993356582072
1023,Mystic Wand v4,2022-03-03,3.1697933173580237
1024,Mystic Wand v5,2023-09-16,3.4077222278850874
1025,Phoenix Feather v1,2024-05-05,4.10314640460722
1026,Phoenix Feather v2,2020-04-01,3.311554065238426
1027,Phoenix Feather v3,2024-05-12,4.017846056032571
1028,Phoenix Feather v4,2022-01-16,3.035146572671191
1029,Phoenix Feather v5,2023-06-06,3.8649020889576415
1030,Thunder Hammer v1,2024-06-20,4.32078431032895
1031,Thunder Hammer v2,2020-02-27,2.3641777499363554
1032,Thunder Hammer v3,2021-04-10,3.2015523722647616
1033,Thunder Hammer v4,2022-10-16,3.88853606359027
1034,Thunder Hammer v5,2023-12-09,3.498477306978504
1035,Elf Bow v1,2019-03-10,3.7855729366856545
1036,Elf Bow v2,2020-09-08,3.29800740664209
1037,Elf Bow v3,2021-12-04,3.64329489373645
1038,Elf Bow v4,2022-05-11,3.52216138230396
1039,Elf Bow v5,2023-05-22,4.183891030829904
1040,Warrior Helm v1,2019-06-11,3.727210421650607
1041,Warrior Helm v2,2020-03-08,3.768801331037601
1042,Warrior Helm v3,2021-11-08,3.3940615169387662
1043,Warrior Helm v4,2024-05-10,3.3561968879637534
1044,Warrior Helm v5,2023-01-15,3.38372090609019
1045,Sorcerer Stone v1,2024-05-03,3.7972260711891486
1046,Sorcerer Stone v2,2020-05-22,3.3895077595898684
1047,Sorcerer Stone v3,2021-11-12,3.7448874284482065
1048,Sorcerer Stone v4,2022-01-05,4.6377003993227195
1049,Sorcerer Stone v5,2024-05-03,4.035562351715846
